time,latitude,longitude,depth,mag,magType,rms,net,id,updated,Date,place,Type,status,locationSource,magSource,Day
2024-04-06T00:12:17.173Z,40.9168,143.2371,19.207,5.4,mww,0.67,us,us7000mac0,2024-04-07T00:19:34.585Z,2024-04-07,"137 km S of HonchÅ, Japan",earthquake,reviewed,us,us,7
2024-04-05T23:35:25.560Z,-23.3868,170.7715,10,4.6,mb,0.89,us,us7000mabs,2024-04-05T23:51:40.040Z,2024-04-05,southeast of the Loyalty Islands,earthquake,reviewed,us,us,5
2024-04-05T21:59:13.778Z,40.6854,-74.7348,8.518,3.8,mwr,0.43,us,us7000mab9,2024-04-07T23:33:50.011Z,2024-04-07,"7 km SW of Gladstone, New Jersey",earthquake,reviewed,us,us,7
2024-04-05T21:34:12.196Z,23.9995,121.6947,15.451,4.5,mb,0.43,us,us7000mabb,2024-04-05T22:30:45.040Z,2024-04-05,"9 km ENE of Hualien City, Taiwan",earthquake,reviewed,us,us,5
2024-04-05T20:32:13.768Z,-18.133,-174.3275,119.324,5.6,mww,1.02,us,us7000maah,2024-04-06T20:35:27.250Z,2024-04-06,"67 km NNW of Neiafu, Tonga",earthquake,reviewed,us,us,6
2024-04-05T20:26:26.191Z,23.9124,121.8107,21.728,4.9,mww,0.65,us,us7000maaf,2024-04-06T16:03:59.399Z,2024-04-06,"22 km ESE of Hualien City, Taiwan",earthquake,reviewed,us,us,6
2024-04-05T20:12:10.604Z,24.0947,121.7031,18.866,4.5,mb,0.49,us,us7000maab,2024-04-06T15:20:41.040Z,2024-04-06,"16 km NE of Hualien City, Taiwan",earthquake,reviewed,us,us,6
2024-04-05T18:57:24.832Z,-11.0088,161.4377,10,4.7,mb,0.5,us,us7000ma9y,2024-04-05T19:45:02.040Z,2024-04-05,"80 km SW of Kirakira, Solomon Islands",earthquake,reviewed,us,us,5
2024-04-05T18:49:23.111Z,23.901,121.9681,15.008,4.6,mwr,0.58,us,us7000ma9w,2024-04-06T02:26:55.819Z,2024-04-06,"37 km ESE of Hualien City, Taiwan",earthquake,reviewed,us,us,6
2024-04-05T18:45:42.940Z,33.267,-116.435,5,2.64,ml,0.18,ci,ci40706152,2024-04-06T00:17:59.566Z,2024-04-06,"6 km WNW of Borrego Springs, CA",earthquake,reviewed,ci,ci,6
2024-04-05T17:25:21.742Z,-7.5361,127.8178,152.574,4.2,mb,0.85,us,us7000ma93,2024-04-05T19:36:39.040Z,2024-04-05,"141 km NE of Lospalos, Timor Leste",earthquake,reviewed,us,us,5
2024-04-05T16:13:20.289Z,0.4631,98.5221,56.755,4.8,mb,0.87,us,us7000ma7n,2024-04-05T16:54:46.040Z,2024-04-05,"80 km E of Teluk Dalam, Indonesia",earthquake,reviewed,us,us,5
2024-04-05T15:00:38.592Z,24.2445,121.7856,17.101,4.9,mb,0.61,us,us7000ma78,2024-04-05T15:37:02.040Z,2024-04-05,"34 km NNE of Hualien City, Taiwan",earthquake,reviewed,us,us,5
2024-04-05T14:29:58.521Z,40.6919,-74.7403,5,2.6,ml,0.35,us,us7000maaw,2024-04-07T09:09:06.825Z,2024-04-07,"7 km WSW of Gladstone, New Jersey",earthquake,reviewed,us,us,7
2024-04-05T14:23:20.309Z,40.689,-74.754,4.7,4.8,mwr,0.66,us,us7000ma74,2024-04-08T01:26:41.626Z,2024-04-08,"2024 Whitehouse Station, New Jersey Earthquake",earthquake,reviewed,us,us,8
2024-04-05T13:34:39.005Z,-19.2608,-177.4214,569.644,4.5,mb,0.75,us,us7000ma5f,2024-04-05T16:27:55.040Z,2024-04-05,Fiji region,earthquake,reviewed,us,us,5
2024-04-05T12:45:31.606Z,26.5566,97.0128,10,5.8,mb,0.81,us,us7000ma59,2024-04-06T12:49:54.771Z,2024-04-06,"43 km NNE of Sarupathar, India",earthquake,reviewed,us,us,6
2024-04-05T11:03:16.444Z,19.1049,145.3881,222,6.8,mww,0.8,us,us7000ma2w,2024-04-07T11:13:23.661Z,2024-04-07,"Maug Islands region, Northern Mariana Islands",earthquake,reviewed,us,us,7
2024-04-05T10:46:46.100Z,40.0401667,-121.2998333,5.76,2.85,md,0.2,nc,nc74029686,2024-04-06T05:45:46.452Z,2024-04-06,"6 km NW of Belden, CA",earthquake,reviewed,nc,nc,6
2024-04-05T10:26:15.900Z,40.0411667,-121.2961667,5.3,2.58,md,0.27,nc,nc74029671,2024-04-05T22:39:39.180Z,2024-04-05,"5 km NW of Belden, CA",earthquake,reviewed,nc,nc,5
2024-04-05T09:04:56.187Z,23.9836,121.6645,20.287,4.3,mwr,0.78,us,us7000ma2d,2024-04-05T10:00:05.040Z,2024-04-05,"6 km E of Hualien City, Taiwan",earthquake,reviewed,us,us,5
2024-04-05T09:01:54.573Z,15.4411,-93.4495,65.837,5,mww,0.78,us,us7000ma26,2024-04-05T09:20:31.040Z,2024-04-05,"26 km WSW of El Palmarcito, Mexico",earthquake,reviewed,us,us,5
2024-04-05T09:01:37.496Z,31.327,49.5903,10,4.4,mb,0.54,us,us7000ma2f,2024-04-05T09:36:59.040Z,2024-04-05,"5 km NNW of RÄmhormoz, Iran",earthquake,reviewed,us,us,5
